dataset,target_label,n_runs,total_eligible_queries,avg_hit_rate_at_k,avg_top1_rate,avg_spearman_ndcg_vs_qa_f1,avg_spearman_mrr_vs_qa_f1,avg_qa_f1_lift_hit_vs_miss,avg_qa_f1_lift_top1_vs_non_top1,avg_qa_positive_lift_hit_vs_miss,avg_qa_strong_lift_hit_vs_miss,win_count_hit_f1_lift,win_count_top1_f1_lift,win_count_spearman_ndcg_vs_qa_f1
LoCoMo,Canonical,8,6450,0.8085224682659584,0.24283079357052995,0.15148281450031026,0.1382945577871457,0.04744951225334302,0.05635131406416897,0.13721707051695983,0.04471050389758728,0,3,2
LoCoMo,Raw,8,12241,0.7116109498321691,0.012946577070454417,0.27462659900288044,0.2643763115036666,0.09999217748281805,0.05291403232531606,0.20570413663518686,0.08158093185203856,8,5,6
LoCoMo,Source,8,12241,0.804895445885875,0.1308154378507277,0.19993513836153934,0.16939973430204497,0.08029833635595314,0.055568281684018714,0.1810543064845087,0.06111110833023114,0,0,0
LongMemEval-S,Canonical,4,1295,0.8866427247451344,0.39033223193778455,0.0738507586530966,0.05475245000095303,0.036872034389930704,0.009941956797534339,0.17634861093650006,0.002784133628036151,3,0,0
LongMemEval-S,Raw,4,1849,0.5586208985605583,0.0,0.059330524874114755,0.04901678039634571,0.01923464689459345,,0.05338364718854112,0.002856392463223654,0,0,0
LongMemEval-S,Source,4,1849,0.7269071390490961,0.2733557892696166,0.13473140050133467,0.1082690534066275,0.029630797930634736,0.015400209831969276,0.1728589317094701,-0.01036847498707867,1,4,4
