eligible_queries,mean_qa_f1,hit_rate_at_k,top1_rate,spearman_ndcg_vs_qa_f1,spearman_mrr_vs_qa_f1,mean_qa_f1_hit,mean_qa_f1_miss,qa_f1_lift_hit_vs_miss,mean_qa_f1_top1,mean_qa_f1_non_top1,qa_f1_lift_top1_vs_non_top1,qa_positive_rate_hit,qa_positive_rate_miss,qa_positive_lift_hit_vs_miss,qa_positive_rate_top1,qa_positive_rate_non_top1,qa_positive_lift_top1_vs_non_top1,qa_strong_rate_hit,qa_strong_rate_miss,qa_strong_lift_hit_vs_miss,qa_strong_rate_top1,qa_strong_rate_non_top1,qa_strong_lift_top1_vs_non_top1,dataset,run_id,system_label,parser_max_facts,target_mode,target_prefix,target_label
1533,0.12764307816077655,0.7286366601435095,0.001304631441617743,0.22752561432883908,0.21717786811730677,0.1497619537697161,0.06825177033581148,0.08151018343390462,0.0,0.1278098228742459,-0.1278098228742459,0.4583706356311549,0.27403846153846156,0.1843321740926933,0.0,0.40888308295231873,-0.40888308295231873,0.09847806624888093,0.038461538461538464,0.06001652778734247,0.0,0.08229915088177661,-0.08229915088177661,LoCoMo,20260313T065540Z_lexical_full_facts1,lexical / all-minilm,1,raw_turn,raw,Raw
1533,0.12764307816077655,0.7742987606001305,0.10828440965427266,0.19538019003237825,0.16778965399807377,0.14435044918318138,0.07032617237004089,0.07402427681314049,0.15923312932699382,0.12380697831176991,0.03542615101522391,0.44903117101937656,0.26878612716763006,0.1802450438517465,0.5060240963855421,0.39648866130212146,0.10953543508342067,0.09435551811288964,0.04046242774566474,0.0538930903672249,0.10240963855421686,0.07973664959765911,0.022672988956557755,LoCoMo,20260313T065540Z_lexical_full_facts1,lexical / all-minilm,1,source_family,source,Source
453,0.12360787344011456,0.8300220750551877,0.3620309050772627,0.23366891633790526,0.2299403192767413,0.13348272931299787,0.07538779800889216,0.058094931304105715,0.1611749967578108,0.10228950588266755,0.05888549087514325,0.43351063829787234,0.2597402597402597,0.17377037855761263,0.5121951219512195,0.34256055363321797,0.16963456831800156,0.0797872340425532,0.03896103896103896,0.040826195081514235,0.10365853658536585,0.05536332179930796,0.04829521478605789,LoCoMo,20260313T065540Z_lexical_full_facts1,lexical / all-minilm,1,canonical,canonical,Canonical
1533,0.12902670501248917,0.6581865622961514,0.01304631441617743,0.2906741643818679,0.2767251714304647,0.16446519118295033,0.06078732992471186,0.10367786125823847,0.1766374269005848,0.1283973497991634,0.04824007710142139,0.46778989098116946,0.2633587786259542,0.20443111235521527,0.35,0.3985459352280238,-0.04854593522802381,0.11694747274529237,0.02862595419847328,0.08832151854681908,0.2,0.08526107072042301,0.114738929279577,LoCoMo,20260313T023254Z_lexical_full,lexical / all-minilm,5,raw_turn,raw,Raw
1533,0.12902670501248917,0.776255707762557,0.1258969341161122,0.21109065329375953,0.1811238436451643,0.14762055451669467,0.06451743122238844,0.08310312329430623,0.17841394905333874,0.12191346762451605,0.05650048142882269,0.4394957983193277,0.2536443148688047,0.18585148345052305,0.49222797927461137,0.3843283582089552,0.10789962106565615,0.10084033613445378,0.037900874635568516,0.06293946149888527,0.12953367875647667,0.08059701492537313,0.04893666383110354,LoCoMo,20260313T023254Z_lexical_full,lexical / all-minilm,5,source_family,source,Source
899,0.12960401380152506,0.7730812013348165,0.19243604004449388,0.14692364547583311,0.13263434070472355,0.14111195749063687,0.09039802917440394,0.050713928316232934,0.1786193273368941,0.11792405616844126,0.06069527116845283,0.42589928057553955,0.28431372549019607,0.14158555508534348,0.5086705202312138,0.36639118457300274,0.1422793356582111,0.10071942446043165,0.049019607843137254,0.0516998166172944,0.12138728323699421,0.081267217630854,0.04012006560614022,LoCoMo,20260313T023254Z_lexical_full,lexical / all-minilm,5,canonical,canonical,Canonical
1533,0.12829833414388125,0.6647097195042401,0.014350945857795172,0.29791169424658964,0.2866547523532641,0.16338290910665815,0.05874350556981574,0.10463940353684241,0.19845826687931953,0.12727681295249832,0.07118145392682121,0.4681059862610402,0.26653696498054474,0.20156902128049548,0.36363636363636365,0.4010589013898081,-0.03742253775344445,0.11579980372914622,0.023346303501945526,0.0924535002272007,0.22727272727272727,0.0827266710787558,0.14454605619397148,LoCoMo,20260313T072729Z_lexical_full_facts8,lexical / all-minilm,8,raw_turn,raw,Raw
1533,0.12829833414388125,0.7834311806914547,0.12850619699934768,0.20806530269261841,0.17913834265016917,0.145689778470806,0.06538530812991557,0.08030447034089043,0.17465385099347053,0.1214629772431559,0.05319087375031463,0.43880099916736054,0.2620481927710843,0.17675280639627622,0.4873096446700508,0.38772455089820357,0.09958509377184721,0.09908409658617819,0.03313253012048193,0.06595156646569625,0.12690355329949238,0.07859281437125748,0.0483107389282349,LoCoMo,20260313T072729Z_lexical_full_facts8,lexical / all-minilm,8,source_family,source,Source
942,0.12783777055671638,0.7653927813163482,0.18577494692144372,0.13823214605495623,0.1279565828317377,0.139276333003526,0.09052010755151399,0.048756225452012,0.17166129585353523,0.11783892189055824,0.053822373962976996,0.42857142857142855,0.28054298642533937,0.14802844214608918,0.5028571428571429,0.36897001303780963,0.13388712981933326,0.09986130374479889,0.049773755656108594,0.050087548088690294,0.11428571428571428,0.08213820078226858,0.032147513503445704,LoCoMo,20260313T072729Z_lexical_full_facts8,lexical / all-minilm,8,canonical,canonical,Canonical
1533,0.1293552660089548,0.7579908675799086,0.001304631441617743,0.21925683842593344,0.20535910963177248,0.1522756758337148,0.057566812595555565,0.09470886323815922,0.06666666666666667,0.1294371583660316,-0.06277049169936492,0.4578313253012048,0.2371967654986523,0.2206345598025525,0.5,0.40431090790333113,0.09568909209666887,0.10585197934595525,0.03234501347708895,0.07350696586886629,0.0,0.08817766165904638,-0.08817766165904638,LoCoMo,20260313T080007Z_ollama_full_warm_facts1,ollama / all-minilm,1,raw_turn,raw,Raw
